0.312,0.26,0.08112
0.6,0.8,0.48
1.2,0.85,1.02
1.81,1.57,2.8417
2.4,1.57,3.768
3.54,2.5,8.85
2.66,3.7,9.842
5.32,3.7,19.684
7.98,3.7,29.526
